"name"	"age"	"agestem"	"chrom"	"GAIN"	"LOSS"	"DUPLICATION"	"DEMI-DUPLICATION"	"BASE-NUMBER"
Aapu	0	0.6	28=1_35=1	0	0	1	0	1
Abyz	0	0.5	14	0	0	0	0	0
Acre	0	5.2	14	0	0	0	0	0
Acyl	0	0.6	14	0	0	0	0	0
Adio	0	3.5	14	0	0	0	0	0
Aelo	0	3.9	14	0	0	0	0	0
Aeux	0	0.6	14	0	0	0	0	0
Ahyg	0	5.2	14	0	0	0	0	0
Aita	0	0.5	35=1_42=1	7	0	0	0	2
Amac	0	4.5	28	0	0	1	0	0
Anig	0	2.9	14	0	0	0	0	0
Apal	0	3.5	14	0	0	0	0	0
Apic	0	12.6	14	0	0	0	0	0
N1	12.6	12.6	14	0	0	0	0	0
N10	0.5	2.9	14	0	0	0	0	0
N2	8.7	12.6	14	0	0	0	0	0
N3	7	8.7	14	0	0	0	0	0
N4	5.2	7	14	0	0	0	0	0
N5	3.9	5.2	14	0	0	0	0	0
N6	0.6	3.9	14	0	0	0	0	0
N7	3.5	7	14	0	0	0	0	0
N8	4.5	8.7	14	0	0	0	0	0
N9	2.9	4.5	14	0	0	0	0	0
