"Chisq"	"p-value"
"Arum_summary.txt"	2.02566964285714	0.154660735316387
"Bellis_summary.txt"	1.67459415584416	0.195644313421974
"Borago_summary.txt"	1.43802769180914e-32	1
"Cheirolophus_summary.txt"	39.7241379310345	2.92488154014839e-10
"Cyclamen_summary.txt"	1.4	0.236723570637857
"Dianthus_summary.txt"	0.17934039791604	0.671940705931561
"Erodium_summary.txt"	0.261492066666544	0.609096933222582
"Gladiolus_summary.txt"	28.5505391493749	9.12844065239207e-08
"Hedera_summary.txt"	0.0373069274879764	0.846841485394828
"Linaria_summary.txt"	11.7439159726587	0.000610424518658477
"Narcissus_summary.txt"	2.64500969303601	0.103875523483535
"Reseda_summary.txt"	1.50385759830958e-29	0.999999999999997
"Ruta_summary.txt"	0.24578125	0.620061420540505
"Smilax_summary.txt"	0.165286771207157	0.684335031567878
"Vella_summary.txt"	0	1
