"Chisq"	"p-value"
"Arum_summary.txt"	5.24223823051948	0.0220448942358093
"Bellis_summary.txt"	29.4324324324324	5.79005155711534e-08
"Borago_summary.txt"	0	1
"Cheirolophus_summary.txt"	1.37606693620845	0.240772228870131
"Cyclamen_summary.txt"	0.598930481283422	0.438986387114714
"Dianthus_summary.txt"	7.32053962548344	0.00681709401332401
"Erodium_summary.txt"	23.318719193053	1.3725764017464e-06
"Gladiolus_summary.txt"	37.0854349360238	1.13065113219301e-09
"Hedera_summary.txt"	27.5573770491803	1.52502601740455e-07
"Linaria_summary.txt"	14.5283035165848	0.000138069520907044
"Narcissus_summary.txt"	13.0594909290763	0.000301751439480792
"Reseda_summary.txt"	0.132014501891551	0.716352410588784
"Ruta_summary.txt"	0	1
"Smilax_summary.txt"	13.4461266104585	0.00024551254446092
"Vella_summary.txt"	0.627790178571428	0.428167051325752
