"Chisq_all"	"p-value_all"	"Chisq_tips"	"p-value_tips"	"Chisq_nodes"	"p-value_nodes"
"Arum_summary.txt"	0.623772321428572	0.42964891235793	0.0232142857142857	0.878901150635946	6.4	0.0114120363860017
"Bellis_summary.txt"	4.33125	0.0374187566462101	0	1	5.55555555555556	0.018422125454099
"Borago_summary.txt"	0	1	0	1	0.333333333333333	0.563702861650773
"Cheirolophus_summary.txt"	16.7759337293912	4.20634080909905e-05	0.904092391304348	0.341686755545848	10.687711744777	0.0010784952547388
"Cyclamen_summary.txt"	0.173611111111111	0.676922239021379	0.3125	0.576150122030579	6.4	0.0114120363860017
"Dianthus_summary.txt"	5.04414999412542e-30	0.999999999999998	3.99966318612057e-31	0.999999999999999	18.9192439862543	1.36370078924678e-05
"Erodium_summary.txt"	0.166215450877167	0.683497394552466	0.802660245384704	0.370299188205566	6.6443683925183	0.00994697351345674
"Gladiolus_summary.txt"	2.06374250080985	0.150839308943662	0.00304771856495994	0.955974232541509	18.0323250257815	2.1718565368359e-05
"Hedera_summary.txt"	0.0411479391284817	0.839252629201175	0.864391534391534	0.352512662924832	5.359375	0.0206111591456006
"Linaria_summary.txt"	1.67798669440394e-30	0.999999999999999	8.68027235633434e-31	0.999999999999999	0	1
"Narcissus_summary.txt"	1.49447826160286e-31	1	1.125	0.288844366346485	24.0285714285714	9.49167239880406e-07
"Reseda_summary.txt"	5.97081098078439	0.0145445902731706	7.14253028602887e-33	1	4.30053780284043	0.03810032285713
"Ruta_summary.txt"	NA	NA	NA	NA	NA	NA
"Smilax_summary.txt"	1.96318167597228	0.161173452333324	0.517797419971333	0.471782755167936	23.1481481481481	1.4998757938933e-06
"Vella_summary.txt"	6.40309176315756e-31	0.999999999999999	2.58969489087706e-32	1	1.15056818181818	0.283430240863794
