"Chisq"	"p-value"
"Arum_summary.txt"	0.623772321428572	0.42964891235793
"Bellis_summary.txt"	4.33125	0.0374187566462101
"Borago_summary.txt"	0	1
"Cheirolophus_summary.txt"	16.7759337293912	4.20634080909905e-05
"Cyclamen_summary.txt"	0.173611111111111	0.676922239021379
"Dianthus_summary.txt"	5.04414999412542e-30	0.999999999999998
"Erodium_summary.txt"	0.166215450877167	0.683497394552466
"Gladiolus_summary.txt"	2.06374250080985	0.150839308943662
"Hedera_summary.txt"	0.0411479391284817	0.839252629201175
"Linaria_summary.txt"	1.67798669440394e-30	0.999999999999999
"Narcissus_summary.txt"	1.49447826160286e-31	1
"Reseda_summary.txt"	5.97081098078439	0.0145445902731706
"Ruta_summary.txt"	2.77777777777778	0.0955807045456288
"Smilax_summary.txt"	1.96318167597228	0.161173452333324
"Vella_summary.txt"	6.40309176315756e-31	0.999999999999999
