"Chisq"	"p-value"
"Arum_summary.txt"	0.623772321428572	0.42964891235793
"Bellis_summary.txt"	4.33125	0.0374187566462101
"Borago_summary.txt"	0	1
"Cheirolophus_summary.txt"	22.3448275862069	2.27825840361967e-06
"Cyclamen_summary.txt"	0.5859375	0.44399437602301
"Dianthus_summary.txt"	1.28292878110148	0.257355187435324
"Erodium_summary.txt"	1.77613712940228e-31	1
"Gladiolus_summary.txt"	1.19624849721166	0.274072774101102
"Hedera_summary.txt"	0.0411479391284817	0.839252629201175
"Linaria_summary.txt"	1.67798669440394e-30	0.999999999999999
"Narcissus_summary.txt"	5.55646074114006e-32	1
"Reseda_summary.txt"	3.8923825017575	0.0485055677722112
"Ruta_summary.txt"	5.44444444444444	0.0196306572572907
"Smilax_summary.txt"	3.32328662597114	0.068305151154476
"Vella_summary.txt"	6.40309176315756e-31	0.999999999999999
