"Chisq"	"p-value"
"Arum_summary.txt"	1.7039456407563	0.191772780710399
"Bellis_summary.txt"	19.7027027027027	9.04733190706793e-06
"Borago_summary.txt"	1.28571428571429	0.256839257957857
"Cheirolophus_summary.txt"	16.7759337293912	4.20634080909905e-05
"Cyclamen_summary.txt"	0.5859375	0.44399437602301
"Dianthus_summary.txt"	0.273854177796773	0.600757996894515
"Erodium_summary.txt"	1.38743485489969	0.23883876926982
"Gladiolus_summary.txt"	35.6110273259788	2.40919865414198e-09
"Hedera_summary.txt"	5.91803278688525	0.0149866824989626
"Linaria_summary.txt"	13.8903504583652	0.000193790867143842
"Narcissus_summary.txt"	1.08768606106048e-29	0.999999999999997
"Reseda_summary.txt"	9.65594993141289	0.00188739269639757
"Ruta_summary.txt"	2.77777777777778	0.0955807045456288
"Smilax_summary.txt"	6.12594005873976	0.0133212433471467
"Vella_summary.txt"	3.98942775974026	0.0457866117994471
