"Chisq"	"p-value"
"Arum_summary.txt"	2.02566964285714	0.154660735316387
"Bellis_summary.txt"	1.67459415584416	0.195644313421974
"Borago_summary.txt"	1.43802769180914e-32	1
"Cheirolophus_summary.txt"	1.37606693620845	0.240772228870131
"Cyclamen_summary.txt"	0.145833333333333	0.702549405575949
"Dianthus_summary.txt"	0.0931255956630556	0.760240589494488
"Erodium_summary.txt"	0.835840481480757	0.360589111382833
"Gladiolus_summary.txt"	25.0284091056445	5.64917957065497e-07
"Hedera_summary.txt"	0.0373069274879764	0.846841485394828
"Linaria_summary.txt"	11.7439159726587	0.000610424518658477
"Narcissus_summary.txt"	3.26220365282865	0.0708937959061971
"Reseda_summary.txt"	9.88574411754332e-30	0.999999999999997
"Ruta_summary.txt"	0	1
"Smilax_summary.txt"	1.34035145888594	0.246971997248407
"Vella_summary.txt"	0	1
